City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kapa'a,22.0752,-159.319,294.14,88,0,3.09,US,1700929568
1,tucuma,-0.1833,-50.05,304.54,56,53,4.2,BR,1700929568
2,ghat,24.9647,10.1728,292.11,32,0,3.93,LY,1700929568
3,margaret river,-33.95,115.0667,292.25,58,100,7.23,AU,1700929460
4,tiksi,71.6872,128.8694,249.92,96,100,1.61,RU,1700929568
5,taourirt,34.4073,-2.8973,292.59,25,83,2.34,MA,1700929568
6,inari,68.906,27.0288,273.26,96,100,4.07,FI,1700929568
7,albany,42.6001,-73.9662,275.73,51,7,0.45,US,1700929568
8,ushuaia,-54.8,-68.3,288.96,33,75,7.72,AR,1700929561
9,bantay,17.5847,120.3892,299.8,85,38,3.67,PH,1700929569
10,blackmans bay,-43.0167,147.3167,286.33,95,100,0.45,AU,1700929569
11,puerto natales,-51.7236,-72.4875,289.4,41,20,16.46,CL,1700929569
12,longyearbyen,78.2186,15.6401,267.06,73,75,5.14,SJ,1700929200
13,port-aux-francais,-49.35,70.2167,277.83,78,31,13.89,TF,1700929569
14,college,64.8569,-147.8028,266.73,87,100,0.0,US,1700929569
15,camana,-16.6228,-72.7111,295.05,72,99,4.12,PE,1700929569
16,smithers,54.7804,-127.1743,273.33,100,100,0.0,CA,1700929569
17,rio preto da eva,-2.6994,-59.6997,310.02,33,87,2.38,BR,1700929569
18,puerto ayora,-0.7393,-90.3518,303.13,88,77,4.47,EC,1700929569
19,cromwell,41.5951,-72.6454,276.45,42,0,2.57,US,1700929570
20,stanley,54.868,-1.6985,276.92,85,20,3.09,GB,1700929417
21,grytviken,-54.2811,-36.5092,275.68,67,67,3.02,GS,1700929570
22,thompson,55.7435,-97.8558,271.24,86,100,3.09,CA,1700929570
23,nar'yan-mar,67.6713,53.087,256.54,96,79,2.68,RU,1700929431
24,nueva gerona,21.8833,-82.8,300.57,69,29,4.39,CU,1700929570
25,la'ie,21.6477,-157.9253,295.43,85,8,0.89,US,1700929570
26,phayakkhaphum phisai,15.5163,103.1937,300.05,61,89,4.7,TH,1700929570
27,saudarkrokur,65.7461,-19.6394,277.9,89,98,3.84,IS,1700929570
28,riberalta,-10.9833,-66.1,297.26,100,100,2.06,BO,1700929571
29,iqaluit,63.7506,-68.5145,266.0,79,100,9.26,CA,1700929571
30,hawaiian paradise park,19.5933,-154.9731,295.39,89,100,0.0,US,1700929571
31,adamstown,-25.066,-130.1015,294.98,83,73,9.35,PN,1700929571
32,punta arenas,-53.15,-70.9167,288.21,41,0,13.38,CL,1700929571
33,bardai,11.65,7.2333,306.46,26,74,1.25,NG,1700929571
34,isafjordur,66.0755,-23.124,276.17,93,75,1.54,IS,1700929571
35,baharly,38.4362,57.4316,288.58,33,70,2.96,TM,1700929571
36,waitangi,-43.9535,-176.5597,287.49,98,100,2.24,NZ,1700929540
37,bethel,41.3712,-73.414,276.28,50,0,1.34,US,1700929571
38,tazovsky,67.4667,78.7,251.06,84,2,4.51,RU,1700929571
39,pemangkat,1.1667,108.9667,300.19,83,100,2.32,ID,1700929572
40,argo,37.6333,22.7333,289.25,65,20,6.8,GR,1700929572
41,olonkinbyen,70.9221,-8.7187,271.52,78,62,7.11,SJ,1700929572
42,wailua homesteads,22.0669,-159.378,293.39,88,0,3.09,US,1700929572
43,belmonte,-15.8631,-38.8828,298.46,83,71,4.58,BR,1700929572
